Date,Month,Year,Holidays_Count,Days,Area,AQI,full_date
10,1,2024,0,2,North Campus DU,279.0,2024-01-10
10,1,2024,0,2,R K Puram,310.0,2024-01-10
10,1,2024,0,2,Sri Aurobindo Marg,302.0,2024-01-10
10,1,2024,0,2,Bawana,299.0,2024-01-10
10,1,2024,0,2,Narela,261.0,2024-01-10
11,1,2024,0,3,Punjabi Bagh,381.0,2024-01-11
11,1,2024,0,3,Dr. Karni Singh Shooting Range,364.0,2024-01-11
11,1,2024,0,3,R K Puram,372.0,2024-01-11
11,1,2024,0,3,Sri Aurobindo Marg,349.0,2024-01-11
11,1,2024,0,3,Bawana,351.0,2024-01-11
11,1,2024,0,3,ITO,324.0,2024-01-11
11,1,2024,0,3,Alipur,323.0,2024-01-11
11,1,2024,0,3,Okhla Phase-2,371.0,2024-01-11
11,1,2024,0,3,Narela,340.0,2024-01-11
12,1,2024,0,4,Okhla Phase-2,362.0,2024-01-12
12,1,2024,0,4,Narela,331.0,2024-01-12
12,1,2024,0,4,Sri Aurobindo Marg,321.0,2024-01-12
12,1,2024,0,4,R K Puram,355.0,2024-01-12
12,1,2024,0,4,Dr. Karni Singh Shooting Range,354.0,2024-01-12
12,1,2024,0,4,Bawana,331.0,2024-01-12
12,1,2024,0,4,ITO,304.0,2024-01-12
12,1,2024,0,4,Alipur,321.0,2024-01-12
12,1,2024,0,4,Punjabi Bagh,378.0,2024-01-12
13,1,2024,0,5,Alipur,353.0,2024-01-13
13,1,2024,0,5,Sri Aurobindo Marg,400.0,2024-01-13
13,1,2024,0,5,R K Puram,439.0,2024-01-13
13,1,2024,0,5,North Campus DU,403.0,2024-01-13
13,1,2024,0,5,Punjabi Bagh,446.0,2024-01-13
13,1,2024,0,5,ITO,376.0,2024-01-13
13,1,2024,0,5,Bawana,408.0,2024-01-13
13,1,2024,0,5,Dr. Karni Singh Shooting Range,409.0,2024-01-13
13,1,2024,0,5,Narela,401.0,2024-01-13
13,1,2024,0,5,Okhla Phase-2,438.0,2024-01-13
14,1,2024,0,6,Narela,404.0,2024-01-14
14,1,2024,0,6,Okhla Phase-2,468.0,2024-01-14
14,1,2024,0,6,ITO,446.0,2024-01-14
14,1,2024,0,6,Sri Aurobindo Marg,487.0,2024-01-14
14,1,2024,0,6,Punjabi Bagh,474.0,2024-01-14
14,1,2024,0,6,Bawana,394.0,2024-01-14
14,1,2024,0,6,R K Puram,488.0,2024-01-14
14,1,2024,0,6,North Campus DU,427.0,2024-01-14
14,1,2024,0,6,Alipur,367.0,2024-01-14
14,1,2024,0,6,Dr. Karni Singh Shooting Range,493.0,2024-01-14
15,1,2024,0,0,Alipur,328.0,2024-01-15
15,1,2024,0,0,Okhla Phase-2,392.0,2024-01-15
15,1,2024,0,0,Dr. Karni Singh Shooting Range,388.0,2024-01-15
15,1,2024,0,0,Narela,312.0,2024-01-15
15,1,2024,0,0,R K Puram,388.0,2024-01-15
15,1,2024,0,0,Bawana,327.0,2024-01-15
15,1,2024,0,0,ITO,401.0,2024-01-15
15,1,2024,0,0,North Campus DU,355.0,2024-01-15
15,1,2024,0,0,Sri Aurobindo Marg,362.0,2024-01-15
15,1,2024,0,0,Punjabi Bagh,379.0,2024-01-15
16,1,2024,0,1,North Campus DU,373.0,2024-01-16
16,1,2024,0,1,Narela,373.0,2024-01-16
16,1,2024,0,1,Dr. Karni Singh Shooting Range,376.0,2024-01-16
16,1,2024,0,1,R K Puram,421.0,2024-01-16
16,1,2024,0,1,Punjabi Bagh,411.0,2024-01-16
16,1,2024,0,1,Okhla Phase-2,405.0,2024-01-16
16,1,2024,0,1,ITO,418.0,2024-01-16
16,1,2024,0,1,Sri Aurobindo Marg,377.0,2024-01-16
16,1,2024,0,1,Bawana,384.0,2024-01-16
16,1,2024,0,1,Alipur,332.0,2024-01-16
17,1,2024,0,2,Bawana,423.0,2024-01-17
17,1,2024,0,2,Punjabi Bagh,394.0,2024-01-17
17,1,2024,0,2,Sri Aurobindo Marg,383.0,2024-01-17
17,1,2024,0,2,ITO,368.0,2024-01-17
17,1,2024,0,2,R K Puram,382.0,2024-01-17
17,1,2024,0,2,Alipur,406.0,2024-01-17
17,1,2024,0,2,Dr. Karni Singh Shooting Range,364.0,2024-01-17
17,1,2024,0,2,Okhla Phase-2,365.0,2024-01-17
17,1,2024,0,2,Narela,422.0,2024-01-17
17,1,2024,0,2,North Campus DU,378.0,2024-01-17
18,1,2024,0,3,Dr. Karni Singh Shooting Range,291.0,2024-01-18
18,1,2024,0,3,Sri Aurobindo Marg,307.0,2024-01-18
18,1,2024,0,3,Okhla Phase-2,336.0,2024-01-18
18,1,2024,0,3,Punjabi Bagh,354.0,2024-01-18
18,1,2024,0,3,R K Puram,343.0,2024-01-18
18,1,2024,0,3,North Campus DU,329.0,2024-01-18
18,1,2024,0,3,Bawana,369.0,2024-01-18
18,1,2024,0,3,ITO,355.0,2024-01-18
18,1,2024,0,3,Narela,362.0,2024-01-18
18,1,2024,0,3,Alipur,339.0,2024-01-18
19,1,2024,0,4,Alipur,344.0,2024-01-19
